symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value_net,net_pnl,net_return,holding_days,total_cost,trend_regime_entry,vol_regime_entry,trend_regime_exit,vol_regime_exit,exit_reason_bucket
SANOFI_NS,2013-03-19,2013-03-25,1683.53007052938,1580.5374222476682,6,10101.180423177964,9434.34196504426,-666.838458133705,-0.06601589420218561,6,85.98923151951412,NEUTRAL,HIGH_VOL,BEAR,HIGH_VOL,Initial Risk Stop
NAUKRI_NS,2013-03-19,2013-04-18,66.6884376573129,67.95268496437822,140,9336.381272023873,9464.386756414133,128.00548439025988,0.013710395993983627,30,83.2862911930157,NEUTRAL,HIGH_VOL,NEUTRAL,HIGH_VOL,Portfolio Rebalance Exit
NTPC_NS,2013-03-19,2013-04-18,77.16204812688906,76.24671233402927,118,9105.121678972986,8949.949269934483,-155.17240903850325,-0.017042321290098993,30,80.61004924192832,NEUTRAL,HIGH_VOL,NEUTRAL,HIGH_VOL,Portfolio Rebalance Exit
BSOFT_NS,2013-03-19,2013-04-18,52.67727789459475,48.485008808288605,160,8428.364463135213,7714.8226275288935,-713.5418356063192,-0.08465958475422801,30,73.74011175850119,NEUTRAL,HIGH_VOL,NEUTRAL,HIGH_VOL,Portfolio Rebalance Exit
HCLTECH_NS,2013-03-19,2013-05-21,141.56069158583628,129.29864174100285,79,11183.294635281207,10163.123683050406,-1020.170952230801,-0.09122275550286871,63,92.55035513758435,NEUTRAL,HIGH_VOL,BULL,HIGH_VOL,Portfolio Rebalance Exit
AUROPHARMA_NS,2013-04-18,2013-05-28,86.88369402583288,83.76458581718182,129,11207.996529332528,10752.072050430648,-455.9244789018794,-0.04067849929366735,40,94.73160280369183,NEUTRAL,HIGH_VOL,BULL,HIGH_VOL,Protective Risk Stop
UNIONBANK_NS,2013-03-19,2013-06-05,179.22241138581782,165.88127112690532,70,12545.568797007425,11555.278432799203,-990.290364208222,-0.07893546958543977,78,102.49614174565974,NEUTRAL,HIGH_VOL,NEUTRAL,HIGH_VOL,Protective Risk Stop
GLAXO_NS,2013-03-19,2013-06-13,820.0253882816868,969.9744115326478,11,9020.279271099374,10616.63969420008,1596.3604231007048,0.1769746118853971,86,86.21449155875077,NEUTRAL,HIGH_VOL,BEAR,MID_VOL,Trailing Profit Protection
CONCOR_NS,2013-03-19,2013-06-14,196.51041390693968,199.40971860062757,65,12773.176903951275,12900.4463877679,127.26948381662623,0.009963808124919689,87,108.10704714954456,NEUTRAL,HIGH_VOL,NEUTRAL,HIGH_VOL,Defensive Regime Exit
SUNPHARMA_NS,2013-04-18,2013-06-14,417.8612627570207,433.70739878045714,23,9610.809043411893,9924.647641246202,313.83859783430853,0.0326547532488372,57,85.92741473267682,NEUTRAL,HIGH_VOL,NEUTRAL,HIGH_VOL,Defensive Regime Exit
UPL_NS,2013-05-21,2013-06-21,89.97384029515904,81.50712749440054,126,11336.703877190128,10218.233432841938,-1118.4704443481896,-0.09865922727315775,31,93.30951745592083,BULL,HIGH_VOL,BEAR,HIGH_VOL,Protective Risk Stop
UNIONBANK_NS,2013-06-18,2013-07-16,164.92037969719559,138.84062963310484,68,11214.585819409464,9392.42942085159,-1822.1563985578741,-0.16248093580096432,28,89.92968338219565,NEUTRAL,HIGH_VOL,BULL,HIGH_VOL,Portfolio Rebalance Exit
CANBK_NS,2013-06-18,2013-07-16,59.06618298520474,55.37897635957218,178,10513.780571366502,9807.251962890143,-706.5286084763593,-0.06720024292693888,28,88.82774008862091,NEUTRAL,HIGH_VOL,BULL,HIGH_VOL,Portfolio Rebalance Exit
PIDILITIND_NS,2013-03-19,2013-08-01,131.07233730269235,126.20305369081235,316,41418.85858765092,39723.76422412548,-1695.094363525437,-0.04092566577947253,135,308.5524020304391,NEUTRAL,HIGH_VOL,BEAR,HIGH_VOL,Protective Risk Stop
ECLERX_NS,2013-06-18,2013-08-01,159.87719751007788,162.02428919291023,74,11830.912615745921,11932.048793941176,101.13617819525462,0.008548468024406765,44,101.2093010158828,NEUTRAL,HIGH_VOL,BEAR,HIGH_VOL,Defensive Regime Exit
IDEA_NS,2013-06-18,2013-08-12,85.27350957936417,94.86443204378374,147,12535.20590816662,13880.407792107473,1345.2018839408538,0.1073139040392198,55,110.7112456525901,NEUTRAL,HIGH_VOL,BEAR,MID_VOL,Defensive Regime Exit
LUPIN_NS,2013-04-18,2013-08-13,632.9472049097004,772.4453933539718,17,10760.102483465538,13069.785317643786,2309.6828341782475,0.21465249403780406,117,101.3131327461727,NEUTRAL,HIGH_VOL,BEAR,HIGH_VOL,Trailing Profit Protection
GSFC_NS,2013-07-16,2013-08-14,43.02966235567108,37.327525447414914,120,5163.55948268053,4448.119691900569,-715.4397907799612,-0.13855554355085278,29,31.183361789221152,BULL,HIGH_VOL,BEAR,HIGH_VOL,Defensive Regime Exit
CRISIL_NS,2013-07-16,2013-08-14,967.3490852661,952.7411694187844,10,9673.490852661967,9478.373229088158,-195.1176235738094,-0.02017034249017939,29,84.57362878474848,BULL,HIGH_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
GSFC_NS,2013-07-16,2013-08-16,43.02966235567108,37.25360676256738,120,5163.559482680572,4439.280822904843,-724.2786597757286,-0.1402673218358534,31,50.12046019303071,BULL,HIGH_VOL,BEAR,HIGH_VOL,Defensive Regime Exit
UPL_NS,2013-07-16,2013-08-22,81.37704321385036,81.07810224733905,134,10904.523790656029,10810.698084364138,-93.82570629189104,-0.008604291951959359,37,93.82490664568945,BULL,HIGH_VOL,BEAR,HIGH_VOL,Defensive Regime Exit
CIEINDIA_NS,2013-08-14,2013-10-23,59.92149031055984,37.71254922136099,197,11804.533591180349,7387.754285309507,-4416.779305870841,-0.3741595779074912,70,84.98152939514534,BEAR,HIGH_VOL,BULL,MID_VOL,Initial Risk Stop
BSOFT_NS,2013-08-14,2013-11-13,75.82938689732028,74.55511351066954,524,39734.598734195904,38913.356526944764,-821.2422072511399,-0.020668189271139475,91,299.48781268613106,BEAR,HIGH_VOL,NEUTRAL,MID_VOL,Portfolio Rebalance Exit
HEROMOTOCO_NS,2013-08-14,2014-01-10,1353.475591835586,1407.9408176788406,29,39250.792163233345,40670.52696265514,1419.7347994217926,0.036170857227989246,149,303.94281496696095,BEAR,HIGH_VOL,NEUTRAL,LOW_VOL,Portfolio Rebalance Exit
UNIONBANK_NS,2013-11-13,2014-01-30,96.07357709788758,85.67573199736552,729,70037.63770436014,62221.35590050625,-7816.28180385389,-0.11160116274691677,78,493.53298730605536,NEUTRAL,MID_VOL,NEUTRAL,LOW_VOL,Protective Risk Stop
VEDL_NS,2013-11-13,2014-02-04,61.49008764180921,57.24760339482422,1429,87869.33524014542,81502.13413062243,-6367.201109522983,-0.07246215180895052,83,627.4753267890269,NEUTRAL,MID_VOL,NEUTRAL,LOW_VOL,Protective Risk Stop
FDC_NS,2013-03-19,2014-02-11,88.26710303045355,107.96842300876664,162,14299.270690933565,17413.678820273923,3114.408129340358,0.21780188630984126,329,129.73428787732615,NEUTRAL,HIGH_VOL,NEUTRAL,LOW_VOL,Trailing Profit Protection
HCLTECH_NS,2013-08-14,2014-03-28,174.78592016244286,249.89812750633575,86,15031.58913397026,21399.88445281702,6368.29531884676,0.42366081603806555,226,146.57239379042534,BEAR,HIGH_VOL,BULL,LOW_VOL,Trailing Profit Protection
CANBK_NS,2014-01-10,2014-05-02,42.420427075221006,46.63129187261794,2613,110844.57594755253,121401.25020670467,10556.674259152147,0.09523852808230479,112,853.4984543165183,NEUTRAL,LOW_VOL,NEUTRAL,LOW_VOL,Protective Risk Stop
CESC_NS,2014-04-09,2014-07-16,30.239903407827164,38.525933048116,3795,114760.43343270411,145673.4384426351,30913.005009930974,0.2693698872099369,98,954.0560235199565,BULL,LOW_VOL,BULL,MID_VOL,Trailing Profit Protection
ICRA_NS,2013-08-14,2014-10-14,1116.2446563605472,2299.6426033769044,12,13394.935876327681,27482.753934776312,14087.81805844863,1.0517271742484,426,162.16327319672587,BEAR,HIGH_VOL,NEUTRAL,MID_VOL,Trailing Profit Protection
UPL_NS,2013-09-13,2014-12-16,86.73564746929657,182.30610816575825,375,32525.8678009863,68107.64414702528,35581.776346038976,1.0939531748622557,459,376.62876528482803,NEUTRAL,HIGH_VOL,NEUTRAL,MID_VOL,Trailing Profit Protection
BANKBARODA_NS,2014-05-13,2015-02-05,146.74542361327843,159.87160012868583,929,136326.4985367358,147980.0583814971,11653.559844761301,0.08548271957282777,268,1041.4476297082101,BULL,MID_VOL,BULL,HIGH_VOL,Protective Risk Stop
AUROPHARMA_NS,2014-02-07,2015-02-19,253.15640798747913,507.1089063361199,443,112148.28873845351,223839.32023941746,111691.03150096395,0.9959227444071308,377,1221.8970954557622,NEUTRAL,LOW_VOL,BULL,MID_VOL,Trend/Risk Deterioration Exit
TATACOMM_NS,2013-09-13,2015-03-02,108.79912088353775,213.16382294460485,130,14143.885714860016,27597.94204959775,13454.056334737734,0.9512277323198725,535,165.31188481283985,NEUTRAL,HIGH_VOL,BULL,MID_VOL,Trend/Risk Deterioration Exit
BEL_NS,2015-01-08,2015-03-13,28.967948541641633,28.451847457339,2084,60369.20476078119,59068.58842768118,-1300.6163331000134,-0.0215443675008447,64,446.825296881379,NEUTRAL,HIGH_VOL,BULL,HIGH_VOL,Protective Risk Stop
BEL_NS,2015-04-09,2015-04-21,31.06613803316277,26.251703384571616,643,19975.52675532369,16804.80126275759,-3170.7254925661,-0.15873050715526527,12,148.42323266156404,NEUTRAL,HIGH_VOL,NEUTRAL,HIGH_VOL,Initial Risk Stop
TRENT_NS,2014-02-07,2015-04-27,102.4295131071949,115.96483322064417,1250,128036.8913839937,144427.10364364166,16390.21225964796,0.12801163854011652,444,999.3411322847851,NEUTRAL,LOW_VOL,NEUTRAL,HIGH_VOL,Protective Risk Stop
GPPL_NS,2013-04-18,2015-04-29,34.09544981692232,133.9925181198549,1815,61883.241417714045,242320.84869270018,180437.60727498613,2.9157749843293757,741,1102.9119832451652,NEUTRAL,HIGH_VOL,NEUTRAL,HIGH_VOL,Trailing Profit Protection
FINPIPE_NS,2015-03-10,2015-05-08,49.84425994429661,42.3920691705218,1416,70579.47208112404,59799.471222362066,-10780.000858761974,-0.1527356402775504,59,486.992814501818,BULL,HIGH_VOL,NEUTRAL,HIGH_VOL,Protective Risk Stop
HINDPETRO_NS,2014-11-12,2015-05-11,52.5097705898845,53.40090324883761,3019,158526.99741086137,160631.75982173005,2104.762410868687,0.01327699663303205,180,1167.9099716460332,BULL,MID_VOL,NEUTRAL,HIGH_VOL,Portfolio Rebalance Exit
PIDILITIND_NS,2015-02-06,2015-05-27,280.6006869670656,258.13320046072926,249,69869.57105479961,64032.48522695842,-5837.085827841191,-0.08354260287733967,110,499.3448997382743,BULL,HIGH_VOL,NEUTRAL,HIGH_VOL,Trend/Risk Deterioration Exit
ADANIENT_NS,2014-03-10,2015-06-08,43.15450496265187,59.88680495773945,2365,102060.40423667172,141116.00017038037,39055.59593370865,0.38267138197043743,455,891.2083958052318,BULL,LOW_VOL,BEAR,HIGH_VOL,Protective Risk Stop
MPHASIS_NS,2015-05-11,2015-06-08,288.4925045262014,274.79918148673875,28,8077.790126733637,7651.822012868665,-425.9681138649721,-0.05273324847289861,28,42.55506876001965,NEUTRAL,HIGH_VOL,BEAR,HIGH_VOL,Defensive Regime Exit
TTKPRESTIG_NS,2015-05-11,2015-06-08,305.8001006965625,303.93657158805007,52,15901.605236221556,15733.460423784405,-168.1448124371509,-0.010574077895868107,28,129.65519835728685,NEUTRAL,HIGH_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
ABFRL_NS,2015-05-11,2015-06-08,201.72676501513718,177.42730712890625,85,17146.77502628686,15012.63796183139,-2134.137064455472,-0.12446288361419178,28,131.67345666738538,NEUTRAL,HIGH_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
TIMKEN_NS,2013-06-18,2015-06-09,252.60265726392225,550.9271619363802,289,73002.16794927379,158639.32616299644,85637.15821372265,1.1730769183899907,721,846.7979791969481,NEUTRAL,HIGH_VOL,BEAR,MID_VOL,Defensive Regime Exit
MOTHERSON_NS,2014-08-06,2015-06-09,26.330285514502105,31.81864330410004,5277,138944.91666002764,167297.7525722365,28352.83591220886,0.20405810153949694,307,1119.636413219282,NEUTRAL,MID_VOL,BEAR,MID_VOL,Defensive Regime Exit
DEN_NS,2015-05-11,2015-07-06,140.46599774734133,140.14999389648438,116,16294.055738691733,16184.555768370876,-109.49997032085776,-0.006720240318120429,56,132.6996163169518,NEUTRAL,HIGH_VOL,NEUTRAL,LOW_VOL,Portfolio Rebalance Exit
RPGLIFE_NS,2015-06-08,2015-08-04,169.04931592008035,154.73418212313155,545,92131.87717644396,84016.29082203042,-8115.586354413535,-0.0880866275943904,57,652.3484325518726,BEAR,HIGH_VOL,BULL,MID_VOL,Protective Risk Stop
NUCLEUS_NS,2015-06-08,2015-08-11,253.31598535097666,227.62316170859512,254,64342.26027914832,57596.44192489396,-6745.818354254363,-0.10484273205491523,64,456.2015609489528,BEAR,HIGH_VOL,BULL,LOW_VOL,Protective Risk Stop
UPL_NS,2015-03-10,2015-08-26,300.9150878437815,302.0435552808683,168,50553.73475775559,50548.49815559754,-5.236602158052847,-0.00010358487227789801,169,380.52605267779074,BULL,HIGH_VOL,BEAR,HIGH_VOL,Trend/Risk Deterioration Exit
BEL_NS,2015-05-11,2015-08-26,30.215633775529287,27.70556338924349,3219,97264.1251234288,88853.42349614123,-8410.701627287577,-0.08647280399236966,107,688.0806349151734,NEUTRAL,HIGH_VOL,BEAR,HIGH_VOL,Protective Risk Stop
NITINSPIN_NS,2015-06-08,2015-08-26,64.32809050530118,56.87139628483699,1435,92310.80987510725,81306.41012740892,-11004.399747698335,-0.11921030443332517,79,643.1680275693714,BEAR,HIGH_VOL,BEAR,HIGH_VOL,Protective Risk Stop
SRF_NS,2015-07-06,2015-08-26,233.92617215722342,218.9028564300897,666,155794.83065671104,145258.30116979085,-10536.52948692019,-0.06763080291243487,51,1103.3191087684863,NEUTRAL,LOW_VOL,BEAR,HIGH_VOL,Protective Risk Stop
ZEEL_NS,2015-07-06,2015-08-27,338.96463403328926,343.67017358652447,442,149822.3682427142,151349.59790438187,1527.2296616676613,0.010193602461239494,52,1102.9850744319701,NEUTRAL,LOW_VOL,BEAR,HIGH_VOL,Defensive Regime Exit
HINDPETRO_NS,2015-07-06,2015-08-28,69.90234903969312,74.37535617047939,2231,155952.1407075554,165329.1796145094,9377.038906953996,0.060127670350726435,53,1175.1245989167155,NEUTRAL,LOW_VOL,BEAR,HIGH_VOL,Defensive Regime Exit
BEML_NS,2015-06-08,2015-08-31,527.5692300024095,490.16466107947065,124,65418.58452029931,60550.09742583194,-4868.487094467368,-0.07442055082920178,84,470.6329208942176,BEAR,HIGH_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
MPHASIS_NS,2015-05-11,2015-09-30,309.1462470301713,312.8728151571308,181,55955.47071246132,56414.334914686755,458.8642022254353,0.008200524388105021,142,421.20473725697764,NEUTRAL,HIGH_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
MAHLIFE_NS,2015-08-31,2015-09-30,133.06982338738422,135.70734033883866,113,15036.890042774548,15265.34727507985,228.45723230530166,0.015193117170865977,30,124.82115903798848,BEAR,HIGH_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
OIL_NS,2015-08-31,2015-09-30,89.09081831648624,83.23071278344236,169,15056.348295486263,14000.899019214648,-1055.4492762716145,-0.07009995090164241,30,120.40032005898885,BEAR,HIGH_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
RADICO_NS,2015-08-31,2015-09-30,87.34028712014997,81.33970642089844,171,14935.189097545732,13844.552978693204,-1090.636118852528,-0.07302459391235627,30,119.40105200684191,BEAR,HIGH_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
BAYERCROP_NS,2015-08-31,2015-09-30,3285.955145869748,3171.435726522384,4,13143.820583482278,12625.533359983576,-518.2872234987026,-0.03943200686640758,30,108.49292232271029,BEAR,HIGH_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
ASTRAZEN_NS,2015-08-31,2015-09-30,1157.2011594010662,1149.208936933091,13,15043.615072215018,14871.534286983597,-172.08078523142103,-0.011438792099197462,30,123.44399026279696,BEAR,HIGH_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
CAPLIPOINT_NS,2015-08-31,2015-10-29,260.6571338740494,253.12074923428685,58,15118.113764695127,14613.736617470524,-504.3771472246026,-0.033362438930871076,59,122.80273298694807,BEAR,HIGH_VOL,NEUTRAL,LOW_VOL,Protective Risk Stop
LAOPALA_NS,2015-08-31,2015-10-30,260.6897476881527,251.14957243460483,57,14859.315618224964,14249.551563658988,-609.764054565976,-0.04103581014310644,60,120.55913430312648,BEAR,HIGH_VOL,NEUTRAL,LOW_VOL,Portfolio Rebalance Exit
NUCLEUS_NS,2015-09-30,2015-10-30,205.995674075029,215.67920929263104,82,16891.645274152583,17607.800498969944,716.1552248173612,0.04239700829576467,30,139.9454967224202,BEAR,HIGH_VOL,NEUTRAL,LOW_VOL,Portfolio Rebalance Exit
NEULANDLAB_NS,2015-09-30,2015-10-30,830.2936694424774,684.6019460112018,18,14945.286049965422,12263.90895693004,-2681.377093035382,-0.17941289876091637,30,113.8274984277453,BEAR,HIGH_VOL,NEUTRAL,LOW_VOL,Portfolio Rebalance Exit
SANGAMIND_NS,2015-09-30,2015-10-30,243.72051510850736,223.19158608430152,61,14866.951421619193,13551.190951110559,-1315.7604705086342,-0.08850237235559162,30,118.10956374193776,BEAR,HIGH_VOL,NEUTRAL,LOW_VOL,Portfolio Rebalance Exit
ITC_NS,2015-08-31,2015-11-04,146.10691427320074,150.99403746759663,94,13734.049941681016,14127.897326242224,393.84738456120795,0.028676711256592526,65,115.9936235765798,BEAR,HIGH_VOL,BEAR,LOW_VOL,Protective Risk Stop
KAJARIACER_NS,2015-10-30,2015-12-01,420.3864729424058,438.6989890499436,357,150077.97084043932,156046.1877214263,5968.216880986991,0.03976744120116277,32,1120.7006982702915,NEUTRAL,LOW_VOL,BEAR,LOW_VOL,Defensive Regime Exit
WONDERLA_NS,2015-09-30,2015-12-02,282.3700063061111,347.9642317844272,55,15530.350346836396,19055.00111411644,3524.6507672800435,0.22695243111486088,63,140.08270965102932,BEAR,HIGH_VOL,BEAR,LOW_VOL,Trailing Profit Protection
GHCL_NS,2015-09-30,2015-12-02,109.46619969938348,116.2190616979542,132,14449.538360318727,15271.315264739998,821.776904421271,0.056872190926045896,63,122.68064946369375,BEAR,HIGH_VOL,BEAR,LOW_VOL,Portfolio Rebalance Exit
TATAPOWER_NS,2015-10-30,2015-12-02,60.694060055516374,57.91353364678133,2431,147547.25999496036,140274.4859375354,-7272.774057424947,-0.049291149545395534,33,1055.3302602122922,NEUTRAL,LOW_VOL,BEAR,LOW_VOL,Portfolio Rebalance Exit
VASCONEQ_NS,2015-09-30,2015-12-16,30.271573430011912,34.24147635187391,527,15953.119197616308,17966.090926573925,2012.9717289576165,0.12618044810060666,77,137.7715804552158,BEAR,HIGH_VOL,BEAR,LOW_VOL,Trailing Profit Protection
DCMSHRIRAM_NS,2015-10-30,2015-12-17,109.28186678327778,114.50191251365518,1375,150262.56682700705,156865.27426466966,6602.7074376626115,0.043941133025260495,48,1130.0991693975182,NEUTRAL,LOW_VOL,NEUTRAL,LOW_VOL,Defensive Regime Exit
GRASIM_NS,2015-12-02,2015-12-31,546.3025199284368,542.8238198792872,31,16935.378117782086,16752.67939130407,-182.69872647801458,-0.01078799216689361,29,137.07040935278854,BEAR,LOW_VOL,NEUTRAL,LOW_VOL,Portfolio Rebalance Exit
JUBLPHARMA_NS,2015-08-31,2016-01-15,240.75458687761324,251.17833569958037,67,16130.557320800326,16754.084493516726,623.5271727164,0.038655029725002905,137,134.11889503579525,BEAR,HIGH_VOL,BEAR,MID_VOL,Protective Risk Stop
RPOWER_NS,2015-10-30,2016-01-19,48.27836901461337,49.29999923706055,3113,150290.56274249146,152912.72865117525,2622.16590868379,0.017447309137943817,81,1110.2623733178443,NEUTRAL,LOW_VOL,BEAR,MID_VOL,Protective Risk Stop
CESC_NS,2015-12-02,2016-01-19,32.611175254299354,27.37080126997204,1571,51232.156324504314,42832.09921888627,-8400.057105618042,-0.16396063933776486,48,355.6287891054284,BEAR,LOW_VOL,BEAR,MID_VOL,Protective Risk Stop
VEDL_NS,2015-12-02,2016-01-22,30.811734420735938,21.416803836583316,1661,51178.29087284242,35432.14833419656,-15746.142538645865,-0.3076723014797178,51,329.164064350005,BEAR,LOW_VOL,BEAR,HIGH_VOL,Protective Risk Stop
NUCLEUS_NS,2015-12-02,2016-01-29,231.3948075730628,191.57641182393536,75,17354.61056797994,14302.06957546092,-3052.5409925190197,-0.17589222071920757,58,129.91346900875692,BEAR,LOW_VOL,BEAR,HIGH_VOL,Time-Based Risk Exit
SRF_NS,2015-12-31,2016-01-29,244.07486764824628,217.68071068210116,66,16108.941264784498,14300.771073313635,-1808.1701914708628,-0.11224637061801665,29,125.33133450595494,BEAR,LOW_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
KANSAINER_NS,2015-12-31,2016-01-29,164.35831696560822,161.98127003682634,98,16107.11506262977,15802.677463512999,-304.4375991167708,-0.018900814822084347,29,130.65597535959608,BEAR,LOW_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
SURYAROSNI_NS,2015-12-31,2016-01-29,32.39314088934972,33.25936324916978,511,16552.894994457743,16920.08118935459,367.18619489684716,0.02218259676146008,29,136.26031916171635,BEAR,LOW_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
TRENT_NS,2015-12-02,2016-02-04,154.13146564758327,146.46844876434417,111,17108.592686881897,16185.152191227387,-923.4404956545095,-0.05397524580514225,64,135.69479563992664,BEAR,LOW_VOL,BEAR,HIGH_VOL,Protective Risk Stop
GENUSPOWER_NS,2015-10-30,2016-02-15,33.90506482697435,46.11844814841036,4433,150301.15237797733,203704.53086889687,53403.37849091954,0.35530917525250055,108,1292.3020743241113,NEUTRAL,LOW_VOL,BEAR,HIGH_VOL,Trailing Profit Protection
BERGEPAINT_NS,2016-01-29,2016-02-26,152.70283004359214,129.28855020495212,110,16797.311304795287,14156.098194341213,-2641.213110454073,-0.15724023104221813,28,127.3465682176176,BEAR,HIGH_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
KAJARIACER_NS,2016-01-29,2016-02-26,443.51450891104537,410.9455646798956,38,16853.551338620167,15545.357790705759,-1308.1935479144086,-0.07762123968001114,28,132.48456360758058,BEAR,HIGH_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
BALRAMCHIN_NS,2016-01-29,2016-02-26,77.2062912838227,71.15348764850752,201,15518.46454804844,14235.925356656737,-1282.5391913917028,-0.08264601097748368,28,122.93207023170609,BEAR,HIGH_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
JAMNAAUTO_NS,2016-01-29,2016-02-26,24.317441273503412,20.95910313843672,629,15295.670561033672,13121.306618333916,-2174.363942699756,-0.1421555161000286,28,118.15724327016963,BEAR,HIGH_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
PRICOLLTD_NS,2016-01-29,2016-02-26,40.998670799439296,39.99349556137242,361,14800.520158597628,14371.245627280374,-429.2745313172545,-0.02900401652896562,28,120.77597264378824,BEAR,HIGH_VOL,BEAR,HIGH_VOL,Portfolio Rebalance Exit
GNFC_NS,2016-01-29,2016-03-30,65.237060484572,60.74163831456634,225,14678.338609028766,13603.186817893911,-1075.1517911348546,-0.07324751252662341,61,117.60393574928418,BEAR,HIGH_VOL,NEUTRAL,MID_VOL,Portfolio Rebalance Exit
MARICO_NS,2016-02-26,2016-03-30,210.7476495971669,211.8061706617802,70,14752.335471801893,14758.65085377423,6.315381972337491,0.0004280937065462565,33,121.97314887224239,BEAR,HIGH_VOL,NEUTRAL,MID_VOL,Portfolio Rebalance Exit
NDTV_NS,2016-02-26,2016-03-30,116.52806163985171,108.0500030517578,126,14682.535766621431,13550.806339790277,-1131.7294268311543,-0.07707997070941747,33,117.43000361337897,BEAR,HIGH_VOL,NEUTRAL,MID_VOL,Portfolio Rebalance Exit
SUNPHARMA_NS,2016-02-26,2016-03-30,816.1500958585573,745.9866918863974,18,14690.701725454846,13364.926465177436,-1325.7752602774108,-0.09024587695359819,33,116.79963474895767,BEAR,HIGH_VOL,NEUTRAL,MID_VOL,Portfolio Rebalance Exit
VAKRANGEE_NS,2016-02-26,2016-03-30,95.30752289225957,86.28042278356824,166,15821.048800115183,14256.551319506565,-1564.4974806086175,-0.09888709025391712,33,124.11679344759418,BEAR,HIGH_VOL,NEUTRAL,MID_VOL,Portfolio Rebalance Exit
AMBUJACEM_NS,2016-02-26,2016-05-23,186.77693960773726,181.8926548868528,331,61823.167010161225,59978.17836373155,-1844.9886464296724,-0.029842997951341297,87,455.3951526776224,BEAR,HIGH_VOL,BEAR,LOW_VOL,Protective Risk Stop
KSCL_NS,2016-03-30,2016-06-14,386.5927149219241,425.793799861641,359,138786.78465697114,152303.96460767303,13517.179950701888,0.09739529584254931,76,1065.8371426111667,NEUTRAL,MID_VOL,BULL,LOW_VOL,Protective Risk Stop
PGHH_NS,2016-02-26,2016-06-16,5321.585675556529,5242.074047322823,10,53215.85675557061,52219.971038978,-995.8857165926092,-0.018714078421529133,111,396.27141465634566,BEAR,HIGH_VOL,BULL,MID_VOL,Time-Based Risk Exit
JKPAPER_NS,2016-01-29,2016-06-27,44.93957847997802,45.11771852900597,1411,63409.74523524902,63420.410735099795,10.665499850772903,0.00016819969566513932,150,473.72110454141887,BEAR,HIGH_VOL,NEUTRAL,LOW_VOL,Portfolio Rebalance Exit
